Name,Temp,Clouds,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Qaqortoq,28.4,88,1551649800,50,60.72,-46.03,28.4,6.93
Manbij,44.83,75,1551651600,93,36.53,37.96,45.0,4.85
Cayenne,78.8,88,1551652200,74,4.94,-52.33,78.8,4.7
Rondonopolis,78.52,24,1551653292,79,-16.46,-54.64,78.52,2.84
Alberton,65.89,0,1551653189,72,-26.25,28.13,68.0,2.73
Langxiang,23.71,8,1551653292,71,46.95,128.87,23.71,1.39
Rehoboth,62.5,0,1551653293,46,-23.31,17.08,62.5,3.96
Pokrovsk,23.93,36,1551653073,80,48.28,37.18,23.93,12.91
Byron Bay,74.91,40,1551652828,83,-28.65,153.62,80.01,6.93
Conceicao do Araguaia,75.73,32,1551653294,94,-8.26,-49.26,75.73,5.75
Barra do Garcas,73.12,20,1551653294,92,-15.89,-52.26,73.12,4.85
Bilma,55.3,0,1551653295,25,18.69,12.92,55.3,9.78
Montepuez,71.68,80,1551653186,97,-13.13,39.0,71.68,5.75
Semey,19.39,56,1551653295,88,50.41,80.25,19.39,5.3
Sri Aman,75.2,88,1551650400,94,1.24,111.46,75.2,2.24
Orlik,-8.52,0,1551653296,51,52.51,99.83,-8.52,1.95
Lahij,72.31,92,1551653296,91,13.06,44.88,72.31,2.28
Tura,53.36,0,1551653278,82,25.52,90.21,53.36,3.29
